sample,reference,search,gt_x,gt_y,pred_x,pred_y,error_px,score,rotation_deg,scale,mode,time_ms
1,reference_01.png,search_01.png,842.0,285.0,842.0,285.0,0.0,0.9715539813041687,3.0,1.04,GEOMETRIC_LOCKED,423.9847999997437
2,reference_02.png,search_02.png,425.0,182.0,425.0,182.0,0.0,0.9544607996940613,1.0,0.96,GEOMETRIC_LOCKED,423.89650002587587
3,reference_03.png,search_03.png,747.0,690.0,747.0,690.0,0.0,0.945826530456543,3.0,1.0,GEOMETRIC_LOCKED,401.3058999553323
4,reference_04.png,search_04.png,670.0,705.0,670.0,705.0,0.0,0.8310547471046448,0.0,0.96,GEOMETRIC_LOCKED,421.52340000029653
5,reference_05.png,search_05.png,591.0,865.0,591.0,865.0,0.0,0.970974326133728,4.0,1.0,GEOMETRIC_LOCKED,415.5081999488175
6,reference_06.png,search_06.png,213.0,333.0,213.0,333.0,0.0,0.9306502938270569,1.0,1.0,GEOMETRIC_LOCKED,376.522499951534
7,reference_07.png,search_07.png,280.0,628.0,280.0,628.0,0.0,0.9477164149284363,2.0,1.04,GEOMETRIC_LOCKED,377.50850000884384
8,reference_08.png,search_08.png,690.0,559.0,690.0,559.0,0.0,0.9300561547279358,-3.0,1.04,GEOMETRIC_LOCKED,403.5308000165969
9,reference_09.png,search_09.png,303.0,815.0,303.0,815.0,0.0,0.9587829113006592,-4.0,1.0,GEOMETRIC_LOCKED,357.64079994987696
10,reference_10.png,search_10.png,738.0,408.0,738.0,408.0,0.0,0.9685508608818054,0.0,0.96,GEOMETRIC_LOCKED,387.4939000234008
11,reference_11.png,search_11.png,255.0,232.0,255.0,232.0,0.0,0.8495734333992004,3.0,1.0,GEOMETRIC_LOCKED,380.15840004663914
12,reference_12.png,search_12.png,689.0,657.0,689.0,657.0,0.0,0.9589545726776123,1.0,1.04,GEOMETRIC_LOCKED,372.22009990364313
13,reference_13.png,search_13.png,373.0,675.0,373.0,675.0,0.0,0.970944881439209,2.0,1.04,GEOMETRIC_LOCKED,379.5011000474915
14,reference_14.png,search_14.png,579.0,459.0,579.0,459.0,0.0,0.9297118186950684,-1.0,1.0,GEOMETRIC_LOCKED,393.88989994768053
15,reference_15.png,search_15.png,416.0,185.0,416.0,185.0,0.0,0.9656378030776978,4.0,1.04,GEOMETRIC_LOCKED,435.8144999714568
16,reference_16.png,search_16.png,540.0,755.0,540.0,755.0,0.0,0.9501474499702454,1.0,1.04,GEOMETRIC_LOCKED,433.30629996489733
17,reference_17.png,search_17.png,975.0,443.0,975.0,443.0,0.0,0.8698772192001343,-1.0,0.96,GEOMETRIC_LOCKED,409.41630001179874
18,reference_18.png,search_18.png,820.0,850.0,820.0,850.0,0.0,0.850840151309967,2.0,0.96,GEOMETRIC_LOCKED,401.713699917309
19,reference_19.png,search_19.png,204.0,468.0,204.0,468.0,0.0,0.8881390690803528,2.0,0.96,GEOMETRIC_LOCKED,380.9826000360772
20,reference_20.png,search_20.png,530.0,382.0,530.0,382.0,0.0,0.8824066519737244,1.0,1.04,GEOMETRIC_LOCKED,400.33380000386387
21,reference_21.png,search_21.png,544.0,605.0,544.0,605.0,0.0,0.9484143257141113,-1.0,0.96,GEOMETRIC_LOCKED,397.4618000211194
22,reference_22.png,search_22.png,203.0,196.0,203.0,196.0,0.0,0.9816609621047974,-2.0,1.0,GEOMETRIC_LOCKED,424.7812000103295
23,reference_23.png,search_23.png,462.0,531.0,462.0,531.0,0.0,0.8961504697799683,3.0,1.0,GEOMETRIC_LOCKED,424.81830005999655
24,reference_24.png,search_24.png,337.0,676.0,337.0,676.0,0.0,0.9127753973007202,3.0,1.04,GEOMETRIC_LOCKED,399.49199999682605
25,reference_25.png,search_25.png,892.0,776.0,892.0,776.0,0.0,0.8819347620010376,-2.0,0.96,GEOMETRIC_LOCKED,431.5048001008108
26,reference_26.png,search_26.png,930.0,578.0,930.0,578.0,0.0,0.9202138781547546,-1.0,0.96,GEOMETRIC_LOCKED,348.82810001727194
27,reference_27.png,search_27.png,975.0,730.0,975.0,730.0,0.0,0.9616757035255432,-3.0,1.0,GEOMETRIC_LOCKED,349.8769999714568
28,reference_28.png,search_28.png,489.0,401.0,489.0,401.0,0.0,0.9398966431617737,0.0,1.0,GEOMETRIC_LOCKED,370.3255000291392
29,reference_29.png,search_29.png,547.0,879.0,547.0,879.0,0.0,0.938809335231781,2.0,1.04,GEOMETRIC_LOCKED,423.4872000524774
30,reference_30.png,search_30.png,352.0,512.0,352.0,512.0,0.0,0.929305374622345,-1.0,1.0,GEOMETRIC_LOCKED,370.76749990228564
